idx,obj_value,converged,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum,boot_idx
12,3.4093479528870596e-26,true,2,false,0.0002561,"[-0.8613272400723473, 1.4675864717649312]","[0.5202990342876057, 1.1204520037446837]",0,234
13,4.8394297219805745e-25,true,2,false,0.0002499,"[-0.8613272400586762, 1.467586471764037]","[1.6996228215478644, 1.0844860147154771]",0,234
14,6.091442422247985e-24,true,2,false,0.0002672,"[-0.8613272400112528, 1.4675864717609355]","[-1.0989445324831357, -0.0993402202293609]",0,234
15,6.35479331438806e-26,true,3,false,0.0002928,"[-0.8613272400705487, 1.4675864717648135]","[1.5447563259135333, -0.22651795438142638]",0,234
16,4.5331054045893925e-25,true,3,false,0.0002832,"[-0.8613272400593961, 1.4675864717640843]","[1.7376928272513674, -1.2953938355637125]",0,234
17,2.274187387083223e-21,true,2,false,0.0002054,"[-0.8613272413534747, 1.4675864718487186]","[-1.3972500397371668, -1.1529219835943225]",0,234
18,1.368830125503041e-23,true,2,false,0.0001578,"[-0.8613272399784562, 1.4675864717587916]","[-0.27322961221704645, -0.5101173409267433]",0,234
19,6.371267861075638e-27,true,2,false,0.0001813,"[-0.8613272400793833, 1.4675864717653913]","[-1.7983567634893314, 0.8231200506166791]",0,234
20,1.3107547130530098e-22,true,2,false,0.0001559,"[-0.8613272403836684, 1.4675864717852916]","[-0.6634712267123949, -0.2399591176621829]",0,234
1,1.6050615739069995e-23,true,3,false,0.0003527,"[3.950402733461884, 1.1313996094339778]","[0.03833248646601629, 0.213845359778582]",0,235
2,3.476701575884176e-23,true,3,false,0.0003068,"[3.9504027335211482, 1.1313996094302814]","[-0.7042838077754542, -0.4007992090593657]",0,235
3,1.755856589160677e-24,true,3,false,0.0002258,"[3.950402733377589, 1.1313996094392353]","[1.4214984593810815, -0.5777261953257666]",0,235
4,3.2666267278233254e-23,true,3,false,0.0002247,"[3.950402733515582, 1.1313996094306287]","[-0.4658959078249555, -0.7303008298610437]",0,235
5,2.5765872587198e-25,true,4,false,0.0002347,"[3.9504027333519214, 1.131399609440836]","[-1.365080912437378, -1.3208174975844296]",0,235
6,8.540576834449442e-24,true,3,false,0.0001891,"[3.950402733427817, 1.1313996094361023]","[0.5431992343373382, 0.09271546518564394]",0,235
7,1.5520704052526832e-23,true,3,false,0.0002274,"[3.9504027334597915, 1.1313996094341083]","[-0.7590535993444354, 0.9209639329677229]",0,235
8,2.376713040317109e-22,true,3,false,0.0001934,"[3.9504027338203325, 1.131399609411622]","[0.745620993889791, -2.216096423049429]",0,235
9,5.836548189226943e-24,true,3,false,0.0002204,"[3.9504027334118668, 1.1313996094370973]","[0.8442354651341021, -0.3265277272261217]",0,235
10,1.8668678611956444e-23,true,3,false,0.0001968,"[3.950402733471732, 1.1313996094333636]","[-1.0120757369891493, 1.1470306234136702]",0,235
11,9.270924571399211e-24,true,3,false,0.0001898,"[3.9504027334316474, 1.1313996094358636]","[0.7232770971838263, -0.728534008508048]",0,235
12,9.345466574524542e-25,true,3,false,0.0001843,"[3.9504027333664133, 1.1313996094399321]","[0.5202990342876057, 1.1204520037446837]",0,235
13,7.466637787243729e-24,true,2,false,0.0001479,"[3.950402733421731, 1.131399609436482]","[1.6996228215478644, 1.0844860147154771]",0,235
14,4.315152355343196e-23,true,3,false,0.001739,"[3.9504027335423597, 1.1313996094289585]","[-1.0989445324831357, -0.0993402202293609]",0,235
15,6.759240566314623e-25,true,3,false,0.0003241,"[3.9504027333618876, 1.1313996094402143]","[1.5447563259135333, -0.22651795438142638]",0,235
16,3.022699414403542e-24,true,3,false,0.0002883,"[3.9504027333906757, 1.1313996094384189]","[1.7376928272513674, -1.2953938355637125]",0,235
17,1.3273333432071318e-27,true,4,false,0.000304,"[3.950402733336831, 1.1313996094417773]","[-1.3972500397371668, -1.1529219835943225]",1,235
18,2.5344071524436282e-23,true,3,false,0.0002618,"[3.950402733494062, 1.1313996094319707]","[-0.27322961221704645, -0.5101173409267433]",0,235
19,4.1293917820746623e-23,true,3,false,0.0002497,"[3.950402733537913, 1.1313996094292358]","[-1.7983567634893314, 0.8231200506166791]",0,235
20,3.231917870084507e-23,true,3,false,0.0002233,"[3.9504027335146144, 1.131399609430689]","[-0.6634712267123949, -0.2399591176621829]",0,235
1,8.198340711895619e-23,true,4,false,0.0003651,"[10.243053496741442, 1.0364840431896278]","[0.03833248646601629, 0.213845359778582]",0,236
2,1.249412640178114e-22,true,4,false,0.0002634,"[10.243053496662139, 1.0364840431944287]","[-0.7042838077754542, -0.4007992090593657]",0,236
3,4.402918604475487e-23,true,4,false,0.0002296,"[10.243053496831655, 1.0364840431841669]","[1.4214984593810815, -0.5777261953257666]",0,236
4,1.2497072161273572e-22,true,4,false,0.0002247,"[10.243053496662219, 1.0364840431944236]","[-0.4658959078249555, -0.7303008298610437]",0,236
5,2.3841361087061733e-22,true,4,false,0.0002171,"[10.243053496503114, 1.0364840432040547]","[-1.365080912437378, -1.3208174975844296]",0,236
6,6.394785802269864e-23,true,4,false,0.0003007,"[10.243053496780838, 1.036484043187243]","[0.5431992343373382, 0.09271546518564394]",0,236
7,8.858130619742397e-23,true,4,false,0.0002458,"[10.243053496728118, 1.0364840431904345]","[-0.7590535993444354, 0.9209639329677229]",0,236
8,1.3498693845512312e-22,true,4,false,0.0002373,"[10.243053496645764, 1.0364840431954196]","[0.745620993889791, -2.216096423049429]",0,236
9,5.830357675018774e-23,true,4,false,0.0002228,"[10.24305349679436, 1.0364840431864246]","[0.8442354651341021, -0.3265277272261217]",0,236
10,9.139654281938499e-23,true,4,false,0.0002499,"[10.243053496722489, 1.0364840431907751]","[-1.0120757369891493, 1.1470306234136702]",0,236
11,7.152946425356379e-23,true,4,false,0.000308,"[10.243053496763771, 1.0364840431882762]","[0.7232770971838263, -0.728534008508048]",0,236
12,3.7906913752655297e-23,true,4,false,0.0002359,"[10.243053496849486, 1.0364840431830875]","[0.5202990342876057, 1.1204520037446837]",0,236
13,1.2693869741160809e-23,true,4,false,0.0002254,"[10.243053496946338, 1.0364840431772249]","[1.6996228215478644, 1.0844860147154771]",1,236
14,1.3793232623926222e-22,true,4,false,0.0002133,"[10.243053496641021, 1.0364840431957068]","[-1.0989445324831357, -0.0993402202293609]",0,236
15,3.586228570471871e-23,true,4,false,0.0002167,"[10.243053496855975, 1.0364840431826947]","[1.5447563259135333, -0.22651795438142638]",0,236
16,5.917548547691633e-23,true,4,false,0.000204,"[10.243053496792273, 1.036484043186551]","[1.7376928272513674, -1.2953938355637125]",0,236
