idx,obj_value,converged,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum
67,3.291871181932877e-10,true,62,false,0.0014573,"[4.9691978567166135, 1.1912416105076669]","[0.3393990708373988, -0.5108337960771807]",0
68,8.592778380622955e-9,true,72,false,0.0025342,"[4.968198667510745, 1.1913041598118848]","[-0.04627851545839272, -0.15939539715982054]",0
69,1.1312085620242324e-9,true,60,false,0.0020948,"[4.968692032929475, 1.191273093679018]","[0.11404091743749672, 0.102989820850934]",0
70,5.254144655094071e-9,true,65,false,0.0013909,"[4.967403040914475, 1.1913534197441633]","[-0.3444351632200215, 0.23566379468862142]",0
71,3.3353140046894645e-9,true,60,false,0.0012236,"[4.9716912453036475, 1.1910863056172531]","[0.29084796382742906, 0.016032592624052988]",0
72,2.22361561754458e-9,true,58,false,0.0015842,"[4.970525090424939, 1.1911590923702542]","[0.23510255284561604, 0.6268229084919839]",0
73,5.248212598733162e-9,true,58,false,0.0011819,"[4.970684381315669, 1.1911492720714891]","[0.43373782374136755, 0.19936403132064706]",0
74,3.244316120186114e-9,true,64,false,0.0023038,"[4.9716721767687595, 1.191087480177571]","[-0.3374426080423156, -0.5455319932553846]",0
75,9.731634808373678e-9,true,59,false,0.0018246,"[4.96663534710822, 1.1914011298593161]","[0.13668888302474572, 0.35246154546546227]",0
76,1.6152843686491953e-9,true,68,false,0.0013065,"[4.968590433496416, 1.191279372143371]","[-0.07763728367233358, -0.7391560242348775]",0
77,2.273262438506763e-9,true,54,false,0.0018909,"[4.968853580298551, 1.1912632007612725]","[0.3105739035934362, 0.5110821434184081]",0
78,3.1052871849178104e-9,true,66,false,0.0013123,"[4.970279572667222, 1.1911740054132278]","[0.09109293358385566, 0.04981097881844021]",0
79,8.095351504830505e-9,true,51,false,0.0011146,"[4.968426864290056, 1.1912899480386372]","[0.3509429347434465, -0.25970183853085144]",0
80,2.2688165548202587e-9,true,58,false,0.0018498,"[4.970334153364361, 1.1911709986389076]","[0.3067099642088129, -0.08315296986711118]",0
81,4.4852810194432527e-10,true,63,false,0.0019585,"[4.969897041046485, 1.1911979650591433]","[0.4040780449198069, 0.3388050202925579]",0
82,7.887492500207336e-9,true,60,false,0.0018649,"[4.967058685077069, 1.1913749837348915]","[-0.3577520580448236, 0.21279806301721327]",0
83,4.033590952430383e-9,true,70,false,0.0023311,"[4.968924154609232, 1.1912588825850658]","[-0.3102231251684414, -0.07449070517530676]",0
84,1.938709275901288e-9,true,53,false,0.0019324,"[4.971228764758531, 1.1911150653896478]","[0.4317973657048176, -0.14709188637732107]",0
85,4.070094689148649e-9,true,63,false,0.001322,"[4.970413886279438, 1.1911660967564115]","[0.14476683785603808, 0.30989747466411766]",0
86,4.264816222123955e-9,true,64,false,0.0012955,"[4.969062902726476, 1.1912497635158252]","[0.04067637865167177, 0.3185406174639942]",0
87,2.7526218257729495e-9,true,75,false,0.0013063,"[4.968117387485662, 1.1913089600272797]","[-0.057816158803573756, -0.37677300851029816]",0
88,5.886657720684462e-11,true,65,false,0.0023047,"[4.970022625404846, 1.1911902387094941]","[-0.03870223732319391, -0.47810926976294954]",0
89,1.3289802162282258e-8,true,56,false,0.0011109,"[4.973585440599714, 1.190968329369629]","[-0.3158302056172494, 0.6403077161877904]",0
90,1.4461632805298373e-8,true,54,false,0.0016513,"[4.967839451837259, 1.191326638184648]","[-0.37420406773801346, 0.5513402496954083]",0
91,4.634934828213181e-9,true,59,false,0.0015234,"[4.967670098692299, 1.1913368587961606]","[0.242054147132832, 0.19915361150720812]",0
92,2.4679913587769954e-9,true,61,false,0.0021792,"[4.968169290007612, 1.1913057018208049]","[0.04056240840567336, 0.4644704585672619]",0
93,9.409383993740078e-9,true,50,false,0.0017153,"[4.966927566393612, 1.1913831963243078]","[0.2819293621228712, 0.6644035335947154]",0
94,7.715342691702377e-10,true,66,false,0.0014135,"[4.96960165030983, 1.1912163407100231]","[0.004723362804697051, 0.6691289486473775]",0
95,5.546036673559038e-9,true,69,false,0.0013274,"[4.9706212032585775, 1.1911532191192897]","[0.015091925685017448, 0.26280178960679934]",0
96,8.274653106355984e-10,true,59,false,0.0010955,"[4.970044319141292, 1.1911889851964377]","[0.2701369034278854, -0.2649829303980139]",0
97,1.376107179710154e-9,true,62,false,0.0014672,"[4.970147753750171, 1.1911825730492343]","[-0.220888432055525, 0.019713420017964278]",0
