idx,obj_value,converged,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum,boot_idx
6,1.0085309365017055e-28,true,14,false,0.0005129,"[5.05416516838518, 1.1970358460914172]","[0.2298186980518676, 0.4694770042412599]",1,117
18,8.783883809497762e-30,true,14,false,0.0002866,"[6.434712203566188, 1.1135025113449144]","[0.3417821366484886, 0.5080857763662175]",1,118
15,1.7377335229947606e-29,true,14,false,0.00024,"[5.963606858248023, 1.1463018830894203]","[-2.1623790026403724, 0.1706378785324274]",1,119
11,9.952593561243025e-31,true,14,false,0.0002689,"[8.979018439645, 0.9077100821993522]","[1.2192815097319654, 1.9026327297429109]",1,120
7,2.4944637247431795e-31,true,14,false,0.0004337,"[8.058750509399497, 0.9967833890451064]","[-0.4217686643996927, -1.5268834666380147]",1,121
15,1.2948147480964064e-31,true,14,false,0.0002706,"[6.810091344321921, 1.0590431554025606]","[-2.1623790026403724, 0.1706378785324274]",1,122
15,4.2859902019461853e-29,true,14,false,0.00031,"[8.56802897749092, 1.0059389078069227]","[-2.1623790026403724, 0.1706378785324274]",1,123
7,2.984763630818339e-29,true,14,false,0.0003223,"[6.9182319362090645, 1.0900623776879734]","[-0.4217686643996927, -1.5268834666380147]",1,124
15,2.520486388644463e-30,true,14,false,0.0002597,"[5.9624019518110325, 1.1207859521303776]","[-2.1623790026403724, 0.1706378785324274]",1,125
5,1.2405134545981124e-30,true,14,false,0.0003339,"[9.370950693460532, 0.8976321680156909]","[0.28758798062385577, -0.12763690272983585]",1,126
16,7.3734252967049036e-31,true,14,false,0.000253,"[5.76192626783391, 1.1828487400753154]","[-0.8900766562698114, -1.2890210708540353]",1,127
19,1.5767435405494113e-28,true,14,false,0.0002854,"[5.803665717749795, 1.1403099988157008]","[-0.3188700715740966, -2.249739828113134]",1,128
6,1.5848532516700006e-31,true,14,false,0.0002523,"[3.4779750562015104, 1.2736943948347241]","[0.2298186980518676, 0.4694770042412599]",1,129
1,1.5050926631872628e-30,true,14,false,0.0003556,"[5.742471289359923, 1.1401032666175068]","[0.8082879284649668, 2.008112624852031]",1,130
18,1.3162641636578406e-30,true,14,false,0.0002849,"[9.751063017389313, 0.9170357994629614]","[0.3417821366484886, 0.5080857763662175]",1,131
13,1.0682470674631521e-30,true,14,false,0.0002466,"[4.570774085683834, 1.2350693264410588]","[-0.031148130349280094, 0.3646547529502906]",1,132
13,1.8558928388436428e-30,true,14,false,0.0002753,"[4.580265038969266, 1.2003114917982456]","[-0.031148130349280094, 0.3646547529502906]",1,133
5,1.0878694869648806e-29,true,14,false,0.0002824,"[7.6885400769693355, 1.0209432010449604]","[0.28758798062385577, -0.12763690272983585]",1,134
5,6.480269429051672e-29,true,14,false,0.0002755,"[4.237047841585623, 1.236576320145731]","[0.28758798062385577, -0.12763690272983585]",1,135
20,3.1628066347496654e-29,true,14,false,0.0002849,"[6.123800909941233, 1.1089626574094027]","[-0.33745447783309457, 0.12530157347367626]",1,136
20,2.6945094907886223e-30,true,14,false,0.0002652,"[6.97635300645288, 1.0790340792962414]","[-0.33745447783309457, 0.12530157347367626]",1,137
11,3.584745675686313e-30,true,14,false,0.0003023,"[3.117489131250165, 1.3106072374315765]","[1.2192815097319654, 1.9026327297429109]",1,138
19,3.498243957921298e-29,true,14,false,0.0002761,"[1.7065464337704384, 1.428152255733696]","[-0.3188700715740966, -2.249739828113134]",1,139
19,5.144398595321487e-31,true,14,false,0.0002724,"[3.421312647136269, 1.2888749862883147]","[-0.3188700715740966, -2.249739828113134]",1,140
1,1.9943152211412996e-28,true,14,false,0.0003593,"[4.035424550069196, 1.2129708057808468]","[0.8082879284649668, 2.008112624852031]",1,141
10,7.166465966913134e-30,true,14,false,0.0003979,"[3.4962309617420955, 1.3179925256686496]","[-0.11732280453081337, -0.8280567719469374]",1,142
10,8.624563079815398e-30,true,14,false,0.0002629,"[4.395852271768737, 1.2462941928563867]","[-0.11732280453081337, -0.8280567719469374]",1,143
1,1.3481813471984179e-30,true,14,false,0.0003659,"[5.16120764324245, 1.1896960276729125]","[0.8082879284649668, 2.008112624852031]",1,144
14,1.7619759411188312e-29,true,13,false,0.0002202,"[6.267483458323749, 1.1305383631672608]","[0.3158331001728098, 0.7859141337249973]",1,145
8,4.588702078371028e-31,true,14,false,0.0002582,"[2.2820589108378404, 1.3568899587833925]","[-1.355590621101197, 0.6001322727540475]",1,146
